trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-137.47085058523237,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-199.75168203873326,"{0: 14, 1: 3, 2: 10, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-202.37433074273392,"{0: 7, 1: 2, 2: 8, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-114.70273537648488,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-72.92810282210968,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-90.9966947792455,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,14,-67.27084111334364,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,2,-18.65041528461881,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-73.22107184734999,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-48.497147515530514,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-79.61603132812252,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-106.45023273938955,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,6,10.783873939528991,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,12,1.7641914199792887,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,23,4.440980237535033,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,2,16.871938987203073,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-46.92427589840186,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-102.15712765169043,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,11,4.517205141457824,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-75.50091345072852,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-23.64503248359074,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,19,-6.368794678772777,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,18.508460300131528,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,3,-8.878704798399461,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",25,0,-105.47977839382989,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",25,15,-3.579353626931044,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-42.42777887790336,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,16,17.86839748835452,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-16.352827134928585,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,3,7.186030581314288,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
