trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999000499833375, 'e': 0.9999995000000417}",20,0,-56.16377915176656,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.9980019986673331, 'e': 0.9999980000006666}",25,0,-101.66121413607969,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.997004495503373, 'e': 0.999995500003375}",25,0,-82.61532340013552,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.9960079893439915, 'e': 0.9999920000106667}",30,0,-108.27859795197068,"{0: 22, 1: 0, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.9950124791926823, 'e': 0.9999875000260416}",20,12,6.9106426844851425,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.9940179640539353, 'e': 0.999982000054}",20,0,-139.1609837054631,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.9930244429332351, 'e': 0.9999755001000415}",25,14,-48.518546193413975,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.9920319148370607, 'e': 0.9999680001706663}",20,0,-75.15331895603688,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.9910403787728836, 'e': 0.9999595002733742}",25,0,-145.86267002536803,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.9900498337491681, 'e': 0.9999500004166653}",25,5,-106.18233406034196,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",1
11,False,"{'a': 0.9890602787753687, 'e': 0.9999395006100392}",35,11,-91.32823265304052,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 1}",1
12,False,"{'a': 0.9880717128619305, 'e': 0.9999280008639958}",20,12,-28.30325324673868,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.9870841350202876, 'e': 0.9999155011900349}",20,0,-66.09056453128858,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.9860975442628619, 'e': 0.9999020016006562}",20,0,-13.945832153945787,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.9851119396030626, 'e': 0.9998875021093592}",20,0,-68.3064398707304,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
16,False,"{'a': 0.9841273200552851, 'e': 0.9998720027306434}",30,0,-215.50156262515938,"{0: 18, 1: 3, 2: 4, 3: 1, 4: 4}",0
17,False,"{'a': 0.9831436846349096, 'e': 0.9998555034800082}",20,0,-59.21155567023401,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.9821610323583008, 'e': 0.9998380043739528}",20,14,0.4793194121671944,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.981179362242806, 'e': 0.9998195054299763}",20,0,-89.10103590907217,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.9801986733067553, 'e': 0.9998000066665778}",20,0,-203.02131266461822,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
21,False,"{'a': 0.9792189645694596, 'e': 0.9997795081032559}",20,0,-94.97173043404793,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.97824023505121, 'e': 0.9997580097605092}",20,8,-99.12896599435184,"{0: 6, 1: 0, 2: 3, 3: 2, 4: 1}",1
23,False,"{'a': 0.9772624837732771, 'e': 0.9997355116598361}",25,10,-17.37206513348014,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
24,False,"{'a': 0.9762857097579093, 'e': 0.9997120138237345}",20,0,-4.471734456964407,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.9753099120283327, 'e': 0.9996875162757026}",30,0,-95.020451563977,"{0: 18, 1: 1, 2: 11, 3: 0, 4: 0}",0
26,False,"{'a': 0.9743350896087494, 'e': 0.9996620190402377}",30,0,-147.476057245798,"{0: 16, 1: 5, 2: 6, 3: 2, 4: 1}",0
27,False,"{'a': 0.9733612415243368, 'e': 0.9996355221428369}",25,0,-77.10402292994085,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
28,False,"{'a': 0.9723883668012469, 'e': 0.9996080256099974}",20,0,-136.53449176928044,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
29,False,"{'a': 0.9714164644666048, 'e': 0.9995795294692156}",20,0,-194.43145259605157,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
30,False,"{'a': 0.9704455335485082, 'e': 0.9995500337489875}",25,0,-24.02667891367965,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
31,False,"{'a': 0.9694755730760259, 'e': 0.999519538478809}",30,5,-146.8002853968964,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",1
32,False,"{'a': 0.9685065820791976, 'e': 0.9994880436891754}",25,0,-67.16764987617965,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
33,False,"{'a': 0.967538559589032, 'e': 0.9994555494115813}",30,0,-130.4199035560584,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
34,False,"{'a': 0.9665715046375066, 'e': 0.9994220556785212}",30,0,-127.26986266047666,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
35,False,"{'a': 0.9656054162575665, 'e': 0.9993875625234886}",20,0,-78.59174046685648,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",1
36,False,"{'a': 0.9646402934831231, 'e': 0.9993520699809768}",20,0,-65.03061083284308,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
37,False,"{'a': 0.9636761353490535, 'e': 0.9993155780864782}",25,0,-133.91996111286642,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
38,False,"{'a': 0.9627129408911995, 'e': 0.9992780868764849}",25,0,-160.48061902180723,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
39,False,"{'a': 0.9617507091463667, 'e': 0.999239596388488}",25,0,-156.8295923613806,"{0: 18, 1: 0, 2: 2, 3: 2, 4: 3}",0
40,False,"{'a': 0.9607894391523232, 'e': 0.9992001066609779}",20,0,-141.77361216269037,"{0: 9, 1: 4, 2: 3, 3: 3, 4: 1}",0
41,False,"{'a': 0.9598291299477989, 'e': 0.9991596177334445}",25,0,-170.36303776172372,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 3}",0
42,False,"{'a': 0.9588697805724845, 'e': 0.9991181296463766}",30,0,-253.69041589541982,"{0: 14, 1: 4, 2: 7, 3: 1, 4: 4}",0
43,False,"{'a': 0.9579113900670306, 'e': 0.9990756424412622}",25,0,-48.665974244843454,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
44,False,"{'a': 0.9569539574730467, 'e': 0.9990321561605888}",20,0,-144.12881115881066,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
45,False,"{'a': 0.9559974818331, 'e': 0.9989876708478425}",25,0,-62.66150765464475,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
46,False,"{'a': 0.9550419621907147, 'e': 0.9989421865475084}",25,0,-138.2855448713434,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
47,False,"{'a': 0.9540873975903711, 'e': 0.9988957033050712}",35,0,-142.1498985032493,"{0: 25, 1: 2, 2: 4, 3: 2, 4: 2}",0
48,False,"{'a': 0.9531337870775047, 'e': 0.9988482211670138}",20,0,-132.0327991538391,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
49,False,"{'a': 0.9521811296985049, 'e': 0.9987997401808185}",25,0,-106.60126200643717,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
50,False,"{'a': 0.951229424500714, 'e': 0.9987502603949663}",20,0,-93.61089061640193,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
51,False,"{'a': 0.950278670532427, 'e': 0.9986997818589368}",20,0,-40.59768463780717,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
52,False,"{'a': 0.9493288668428895, 'e': 0.9986483046232089}",30,0,-135.01278985233603,"{0: 18, 1: 4, 2: 3, 3: 5, 4: 0}",0
53,False,"{'a': 0.9483800124822982, 'e': 0.9985958287392593}",20,0,-170.63220366293913,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
54,False,"{'a': 0.9474321065017983, 'e': 0.9985423542595644}",20,0,-48.057306444246386,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
55,False,"{'a': 0.9464851479534838, 'e': 0.9984878812375985}",20,0,-84.68319315248183,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
56,False,"{'a': 0.9455391358903963, 'e': 0.9984324097278344}",20,0,-93.04727951401611,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
57,False,"{'a': 0.9445940693665233, 'e': 0.9983759397857438}",20,0,-108.3266027588515,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
58,False,"{'a': 0.9436499474367985, 'e': 0.9983184714677966}",25,0,-73.75572893246456,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
59,False,"{'a': 0.9427067691570997, 'e': 0.9982600048314613}",35,0,-185.69726301337974,"{0: 18, 1: 7, 2: 7, 3: 1, 4: 2}",0
60,False,"{'a': 0.9417645335842487, 'e': 0.9982005399352042}",25,3,-41.09608276117791,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 0}",1
61,False,"{'a': 0.9408232397760098, 'e': 0.9981400768384904}",25,0,-95.67147021006761,"{0: 10, 1: 8, 2: 7, 3: 0, 4: 0}",0
62,False,"{'a': 0.9398828867910889, 'e': 0.9980786156017829}",20,0,-89.55925328504024,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
63,False,"{'a': 0.9389434736891332, 'e': 0.9980161562865429}",20,0,-114.28366246587154,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
64,False,"{'a': 0.9380049995307295, 'e': 0.99795269895523}",25,0,-46.49203975775867,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
65,False,"{'a': 0.9370674633774034, 'e': 0.9978882436713011}",20,0,-159.10405516084387,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
66,False,"{'a': 0.9361308642916188, 'e': 0.9978227904992117}",35,0,-180.54299247580133,"{0: 21, 1: 2, 2: 8, 3: 2, 4: 2}",0
67,False,"{'a': 0.9351952013367766, 'e': 0.9977563395044151}",25,0,-111.82870450660884,"{0: 18, 1: 1, 2: 2, 3: 3, 4: 1}",0
68,False,"{'a': 0.9342604735772135, 'e': 0.9976888907533621}",25,0,-207.85458894150005,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
69,False,"{'a': 0.933326680078202, 'e': 0.9976204443135014}",30,0,-95.51913809125004,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
70,False,"{'a': 0.9323938199059483, 'e': 0.9975510002532796}",35,0,-130.06163847840227,"{0: 24, 1: 2, 2: 7, 3: 0, 4: 2}",0
71,False,"{'a': 0.9314618921275921, 'e': 0.9974805586421406}",25,0,-57.743595820314184,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
72,False,"{'a': 0.9305308958112057, 'e': 0.9974091195505261}",20,0,-106.96124663868022,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
73,False,"{'a': 0.9296008300257927, 'e': 0.9973366830498752}",25,0,-213.57229639459055,"{0: 9, 1: 5, 2: 6, 3: 3, 4: 2}",0
74,False,"{'a': 0.9286716938412872, 'e': 0.9972632492126244}",20,0,-170.296348392268,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
75,False,"{'a': 0.9277434863285529, 'e': 0.9971888181122075}",30,0,-269.6839255390354,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 5}",0
76,False,"{'a': 0.9268162065593822, 'e': 0.9971133898230555}",20,0,-233.614763847792,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 5}",0
77,False,"{'a': 0.9258898536064953, 'e': 0.9970369644205967}",25,0,-67.5048949445423,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
78,False,"{'a': 0.9249644265435393, 'e': 0.9969595419812568}",20,0,-88.42028340158588,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
79,False,"{'a': 0.9240399244450869, 'e': 0.9968811225824579}",25,0,-107.91956023211118,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 0}",0
80,False,"{'a': 0.9231163463866358, 'e': 0.9968017063026194}",25,13,-43.5500489212477,"{0: 6, 1: 1, 2: 5, 3: 0, 4: 0}",1
81,False,"{'a': 0.922193691444608, 'e': 0.9967212932211577}",25,0,-78.23818509645719,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
82,False,"{'a': 0.9212719586963487, 'e': 0.9966398834184859}",20,0,-93.24938341728028,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
83,False,"{'a': 0.9203511472201247, 'e': 0.9965574769760137}",20,0,-83.02050386414923,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
84,False,"{'a': 0.9194312560951247, 'e': 0.9964740739761475}",20,0,-256.4237988118592,"{0: 6, 1: 3, 2: 5, 3: 2, 4: 4}",0
85,False,"{'a': 0.9185122844014574, 'e': 0.9963896745022904}",20,0,-33.06044972105082,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
86,False,"{'a': 0.9175942312201509, 'e': 0.996304278638842}",20,0,-124.60870675058413,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
87,False,"{'a': 0.9166770956331523, 'e': 0.9962178864711978}",20,0,-55.66206977547003,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
88,False,"{'a': 0.9157608767233256, 'e': 0.9961304980857502}",25,5,-194.4107647045742,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",1
89,False,"{'a': 0.914845573574452, 'e': 0.9960421135698875}",30,0,-153.88040567345575,"{0: 19, 1: 1, 2: 5, 3: 4, 4: 1}",0
90,False,"{'a': 0.9139311852712282, 'e': 0.9959527330119943}",20,0,-100.58577707411719,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
91,False,"{'a': 0.9130177108992658, 'e': 0.9958623565014509}",25,0,-102.79551715647324,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
92,False,"{'a': 0.9121051495450904, 'e': 0.9957709841286342}",25,0,-154.41183337694966,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
93,False,"{'a': 0.9111935002961405, 'e': 0.9956786159849162}",20,0,-17.829924231368,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
94,False,"{'a': 0.910282762240767, 'e': 0.9955852521626654}",25,0,-92.06920542577753,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
95,False,"{'a': 0.9093729344682314, 'e': 0.9954908927552453}",20,0,-1.9951110035311581,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
96,False,"{'a': 0.9084640160687062, 'e': 0.9953955378570153}",20,0,-124.7887358264089,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
97,False,"{'a': 0.9075560061332727, 'e': 0.9952991875633305}",30,0,-213.37943286742095,"{0: 13, 1: 3, 2: 11, 3: 1, 4: 2}",0
98,False,"{'a': 0.9066489037539209, 'e': 0.995201841970541}",30,0,-156.36768649629025,"{0: 16, 1: 2, 2: 9, 3: 2, 4: 1}",0
99,False,"{'a': 0.9057427080235485, 'e': 0.9951035011759926}",20,0,-84.20004843063005,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
100,False,"{'a': 0.9048374180359596, 'e': 0.9950041652780258}",20,0,-65.72068353699184,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
101,False,"{'a': 0.9039330328858641, 'e': 0.9949038343759766}",20,0,-83.21488864544868,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
102,False,"{'a': 0.9030295516688768, 'e': 0.994802508570176}",25,5,-30.234187885244427,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",1
