trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.22688090799393,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,3,-93.12867400467289,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.675111282409,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,7,-70.82400746998407,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.81427880265213,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.13817193431575,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.32304794320748,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.13366242523467,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-166.08832009537497,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-175.978268378231,"{0: 15, 1: 2, 2: 10, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-173.23123166216698,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.58594515189807,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-135.82660606999457,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-200.6032803643072,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-201.1055836612293,"{0: 23, 1: 2, 2: 6, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.4564486924752,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-19.11287667636355,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-79.58361967302297,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.96101112100399,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.08053896739216,"{0: 11, 1: 1, 2: 10, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.45688382298528,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-138.81256871157433,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-230.7210285842682,"{0: 16, 1: 6, 2: 10, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-182.93423790732865,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-157.32873462235492,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-132.98027669624034,"{0: 19, 1: 3, 2: 4, 3: 3, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-175.6581324667343,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-225.33450165414834,"{0: 12, 1: 1, 2: 8, 3: 0, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-160.05664993950526,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.77668337031598,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
